### Footprint positions - created on 2025-09-23T17:19:16+1200 ###
### Printed by KiCad version 9.0.4-9.0.4-0~ubuntu22.04.1
## Unit = mm, Angle = deg.
## Side : All
# Ref     Val                        Package                                       PosX       PosY       Rot  Side
ANT1      PCB_Trace_Antenna          TraceAntenna                               63.0000    29.6000  -90.0000  top
C1        100n                       C_0402_1005Metric                          45.3700    34.4000   90.0000  top
C2        100n                       C_0402_1005Metric                          43.5600    34.4000   90.0000  top
C3        100n                       C_0402_1005Metric                          41.0245    29.8810  180.0000  top
C4        100n                       C_0402_1005Metric                          41.0500    26.0000  180.0000  top
C5        100n                       C_0402_1005Metric                          41.0300    24.2200  180.0000  top
C6        100n                       C_0402_1005Metric                          47.6100    23.4800  -90.0000  top
C7        100n                       C_0402_1005Metric                          52.2500    27.5200    0.0000  top
C8        0p3                        C_0402_1005Metric                          51.8500    29.2000  -90.0000  top
C9        0p8                        C_0402_1005Metric                          55.5500    29.1200  -90.0000  top
C10       1p2                        C_0402_1005Metric                          62.0500    29.1000  -90.0000  top
C11       10u                        C_0805_2012Metric                           5.3500    15.4500  -90.0000  top
C12       100n                       C_0402_1005Metric                          14.3700    19.7500  180.0000  top
C13       47u_6.3V                   C_0805_2012Metric                          22.5500    17.0000  180.0000  top
C14       100n                       C_0402_1005Metric                          51.7500    31.3550  -90.0000  top
C15       10p                        C_0402_1005Metric                          43.9000    21.2800  -90.0000  top
C16       10p                        C_0402_1005Metric                          45.4000    21.2800  -90.0000  top
C17       1u_6.3V                    C_0402_1005Metric                          26.0500    16.2250    0.0000  top
C18       10u                        C_0805_2012Metric                          29.7500    14.7500    0.0000  top
C19       100n                       C_0402_1005Metric                          41.2100    19.2000  180.0000  top
C20       100u                       WCAP-ASLI_5X5.5_DXL_                       37.2000     7.2000   90.0000  top
C21       100u                       WCAP-ASLI_5X5.5_DXL_                       44.4000     7.2000   90.0000  top
C22       47u_6.3V                   C_0805_2012Metric                          22.5500    14.5000  180.0000  top
C23       100n                       C_0402_1005Metric                          25.9250    18.9500  180.0000  top
C24       100n                       C_0402_1005Metric                          32.7500    17.5000  -90.0000  top
C25       10n                        C_0402_1005Metric                           9.1300    14.6400   90.0000  top
C26       100n                       C_0402_1005Metric                           7.2300    14.6600   90.0000  top
C27       100n                       C_0402_1005Metric                          23.0500    20.5000  180.0000  top
C28       10n                        C_0402_1005Metric                          23.0500    19.0000  180.0000  top
C29       100p                       C_0402_1005Metric                          51.7250    33.4700  -90.0000  top
D1        SSB43L_4A_30V              DIODE_DO214AA_MBRS-L                       14.5500    22.5000  180.0000  top
D2        LED_RED                    LED_0603_1608Metric                        58.1000    12.5875  -90.0000  top
D3        LED_RED                    LED_0603_1608Metric                        55.0000    12.5875  -90.0000  top
D4        SSB43L_4A_30V              DIODE_DO214AA_MBRS-L                       30.3968    23.9500  180.0000  top
